Year;st;State; y90 ; y95 ; y99 ; y995 ; y999 ; y9999 
1918;3;Arizona; 17.722 ; 37.994 ; 80.306 ; 114.874 ; 289.228 ; 934.314 
1918;4;Arkansas; 15.759 ; 16.298 ; 56.123 ; 84.035 ; 187.745 ; 541.143 
1918;5;California; 28.195 ; 48.078 ; 107.921 ; 167.882 ; 461.717 ; 1.517.337 
1918;6;Colorado; 27.960 ; 43.425 ; 81.837 ; 115.704 ; 296.800 ; 1.118.533 
1918;7;Connecticut; 33.116 ; 48.602 ; 116.158 ; 195.804 ; 611.849 ; 2.350.644 
1918;8;Delaware; 20.957 ; 41.768 ; 113.937 ; 200.767 ; 732.380 ; 4.614.835 
1918;9;District of Columbia; 39.816 ; 55.639 ; 153.688 ; 246.948 ; 729.708 ; 2.658.138 
1918;10;Florida; 15.062 ; 16.368 ; 62.385 ; 94.639 ; 229.136 ; 696.964 
1918;11;Georgia; 15.024 ; 16.163 ; 61.601 ; 85.026 ; 218.539 ; 749.214 
1918;13;Idaho; 20.188 ; 43.308 ; 81.583 ; 104.381 ; 189.794 ; 572.634 
1918;14;Illinois; 25.457 ; 45.563 ; 109.002 ; 165.043 ; 490.312 ; 1.847.806 
1918;15;Indiana; 16.401 ; 36.549 ; 72.186 ; 96.061 ; 230.548 ; 791.198 
1918;16;Iowa; 34.038 ; 58.315 ; 104.371 ; 131.439 ; 255.558 ; 712.307 
1918;17;Kansas; 17.038 ; 40.557 ; 82.864 ; 110.252 ; 234.382 ; 666.623 
1918;18;Kentucky; 15.856 ; 16.469 ; 67.395 ; 96.963 ; 243.875 ; 834.522 
1918;19;Louisiana; 15.722 ; 16.377 ; 75.936 ; 116.603 ; 333.105 ; 1.233.805 
1918;20;Maine; 16.266 ; 33.377 ; 76.267 ; 110.784 ; 306.717 ; 1.096.263 
1918;21;Maryland; 34.676 ; 49.500 ; 111.881 ; 184.597 ; 529.958 ; 2.001.883 
1918;22;Massachusetts; 30.939 ; 48.814 ; 129.257 ; 227.018 ; 744.586 ; 3.063.485 
1918;23;Michigan; 16.380 ; 34.249 ; 73.742 ; 107.767 ; 321.180 ; 1.338.915 
1918;24;Minnesota; 16.492 ; 40.579 ; 80.021 ; 113.993 ; 328.778 ; 1.401.449 
1918;25;Mississippi; 15.601 ; 16.196 ; 54.965 ; 75.265 ; 169.218 ; 550.583 
1918;26;Missouri; 16.253 ; 35.672 ; 82.909 ; 126.193 ; 360.051 ; 1.205.445 
1918;27;Montana; 29.646 ; 39.800 ; 78.429 ; 112.228 ; 248.009 ; 662.532 
1918;28;Nebraska; 40.083 ; 60.071 ; 106.099 ; 136.437 ; 272.325 ; 780.121 
1918;29;Nevada; 34.360 ; 43.547 ; 89.371 ; 103.419 ; 195.526 ; 419.695 
1918;30;New Hampshire; 16.414 ; 35.764 ; 78.870 ; 121.518 ; 358.132 ; 1.298.144 
1918;31;New Jersey; 33.962 ; 48.400 ; 113.121 ; 180.315 ; 550.542 ; 1.987.013 
1918;32;New Mexico; 16.428 ; 36.991 ; 68.137 ; 80.949 ; 170.034 ; 647.239 
1918;33;New York; 28.387 ; 50.062 ; 150.191 ; 272.102 ; 914.095 ; 3.751.523 
1918;34;North Carolina; 14.883 ; 15.950 ; 48.773 ; 72.872 ; 190.714 ; 822.696 
1918;35;North Dakota; 26.264 ; 47.181 ; 94.607 ; 116.253 ; 211.521 ; 486.203 
1918;36;Ohio; 22.982 ; 42.539 ; 86.167 ; 136.874 ; 414.930 ; 1.558.731 
1918;37;Oklahoma; 16.117 ; 26.852 ; 73.996 ; 100.750 ; 238.666 ; 766.659 
1918;38;Oregon; 16.510 ; 38.355 ; 82.505 ; 122.435 ; 304.022 ; 1.255.896 
1918;39;Pennsylvania; 32.857 ; 47.295 ; 98.345 ; 165.175 ; 561.162 ; 2.448.447 
1918;40;Rhode Island; 24.041 ; 43.503 ; 117.964 ; 214.410 ; 715.505 ; 3.032.957 
1918;41;South Carolina; 15.850 ; 16.342 ; 59.941 ; 82.766 ; 175.103 ; 521.931 
1918;42;South Dakota; 45.610 ; 64.878 ; 105.820 ; 128.336 ; 220.629 ; 548.940 
1918;43;Tennessee; 15.311 ; 16.294 ; 62.189 ; 88.790 ; 241.865 ; 824.814 
1918;44;Texas; 15.942 ; 22.309 ; 74.729 ; 109.624 ; 291.854 ; 980.980 
1918;45;Utah; 16.512 ; 37.915 ; 79.305 ; 111.142 ; 245.135 ; 692.922 
1918;46;Vermont; 16.019 ; 22.227 ; 71.539 ; 99.572 ; 303.596 ; 1.279.294 
1918;47;Virginia; 16.065 ; 24.714 ; 69.793 ; 98.143 ; 258.987 ; 846.628 
1918;48;Washington; 32.772 ; 44.852 ; 89.576 ; 124.269 ; 301.777 ; 995.201 
1918;49;West Virginia; 16.510 ; 39.114 ; 77.264 ; 104.014 ; 267.202 ; 1.059.920 
1918;50;Wisconsin; 16.417 ; 35.595 ; 73.922 ; 103.710 ; 317.193 ; 1.081.407 
1918;51;Wyoming; 16.508 ; 37.090 ; 100.735 ; 154.755 ; 395.719 ; 878.605 
1919;0;United States; 32.498 ; 46.060 ; 117.209 ; 182.518 ; 574.336 ; 2.052.060 
1919;1;Alabama; 13.715 ; 14.299 ; 51.422 ; 74.091 ; 187.874 ; 636.841 
1919;3;Arizona; 28.613 ; 39.675 ; 86.493 ; 121.564 ; 271.772 ; 861.284 
1919;4;Arkansas; 14.295 ; 14.373 ; 63.493 ; 90.202 ; 209.786 ; 586.002 
1919;5;California; 32.086 ; 50.742 ; 123.150 ; 190.697 ; 487.555 ; 1.548.795 
1919;6;Colorado; 25.765 ; 42.292 ; 92.233 ; 133.564 ; 328.864 ; 1.096.118 
1919;7;Connecticut; 29.945 ; 42.775 ; 113.849 ; 189.945 ; 549.057 ; 1.753.872 
1919;8;Delaware; 29.035 ; 40.511 ; 115.708 ; 201.982 ; 714.180 ; 4.690.759 
1919;9;District of Columbia; 38.508 ; 56.376 ; 143.714 ; 236.612 ; 664.643 ; 2.073.496 
1919;10;Florida; 14.072 ; 30.049 ; 71.826 ; 104.006 ; 261.143 ; 748.761 
1919;11;Georgia; 13.810 ; 14.366 ; 63.500 ; 88.255 ; 240.198 ; 790.785 
1919;13;Idaho; 19.787 ; 40.751 ; 79.392 ; 102.892 ; 200.349 ; 473.911 
1919;14;Illinois; 32.075 ; 51.952 ; 116.340 ; 179.430 ; 509.516 ; 1.736.909 
1919;15;Indiana; 14.367 ; 35.100 ; 71.230 ; 100.172 ; 254.769 ; 849.955 
1919;16;Iowa; 34.740 ; 55.741 ; 100.501 ; 136.586 ; 270.728 ; 706.945 
1919;17;Kansas; 26.375 ; 40.392 ; 77.784 ; 105.496 ; 233.938 ; 702.467 
1919;18;Kentucky; 14.077 ; 24.042 ; 69.347 ; 97.017 ; 229.893 ; 707.694 
1919;19;Louisiana; 14.228 ; 27.875 ; 76.959 ; 126.945 ; 379.740 ; 1.372.344 
1919;20;Maine; 14.367 ; 34.296 ; 76.328 ; 110.825 ; 290.975 ; 923.671 
1919;21;Maryland; 33.228 ; 47.459 ; 123.864 ; 205.910 ; 551.694 ; 1.829.242 
1919;22;Massachusetts; 32.025 ; 48.751 ; 134.402 ; 238.826 ; 740.836 ; 2.666.060 
1919;23;Michigan; 19.187 ; 39.288 ; 85.989 ; 131.173 ; 373.819 ; 1.383.194 
1919;24;Minnesota; 19.961 ; 37.505 ; 84.453 ; 121.161 ; 323.232 ; 1.298.069 
1919;25;Mississippi; 14.072 ; 14.294 ; 57.522 ; 83.165 ; 222.609 ; 756.690 
1919;26;Missouri; 14.227 ; 32.672 ; 82.033 ; 125.440 ; 352.670 ; 1.068.494 
1919;27;Montana; 28.834 ; 38.866 ; 70.322 ; 92.262 ; 210.375 ; 528.020 
1919;28;Nebraska; 31.574 ; 48.248 ; 101.507 ; 138.509 ; 287.407 ; 811.862 
1919;29;Nevada; 30.012 ; 40.681 ; 73.263 ; 105.271 ; 188.012 ; 626.178 
1919;30;New Hampshire; 19.092 ; 37.494 ; 79.179 ; 119.951 ; 314.407 ; 1.068.396 
1919;31;New Jersey; 33.160 ; 49.279 ; 114.255 ; 183.398 ; 525.852 ; 1.954.639 
1919;32;New Mexico; 14.024 ; 29.433 ; 61.054 ; 79.293 ; 173.496 ; 532.307 
1919;33;New York; 31.216 ; 51.053 ; 168.293 ; 301.846 ; 957.972 ; 3.629.398 
1919;34;North Carolina; 14.035 ; 14.322 ; 64.469 ; 91.485 ; 241.155 ; 899.063 
1919;35;North Dakota; 27.947 ; 39.995 ; 71.305 ; 91.123 ; 179.314 ; 400.374 
1919;36;Ohio; 18.334 ; 37.522 ; 91.224 ; 144.107 ; 413.531 ; 1.406.766 
1919;37;Oklahoma; 14.314 ; 33.960 ; 81.443 ; 116.597 ; 291.943 ; 935.740 
1919;38;Oregon; 24.359 ; 42.592 ; 90.791 ; 139.839 ; 345.670 ; 1.378.675 
1919;39;Pennsylvania; 25.837 ; 40.389 ; 100.727 ; 163.526 ; 516.055 ; 2.059.228 
1919;40;Rhode Island; 25.945 ; 41.728 ; 116.347 ; 200.467 ; 632.148 ; 2.335.576 
1919;41;South Carolina; 23.934 ; 28.629 ; 70.391 ; 99.273 ; 233.124 ; 752.971 
1919;42;South Dakota; 34.767 ; 54.044 ; 94.023 ; 122.006 ; 232.856 ; 558.061 
1919;43;Tennessee; 13.851 ; 15.683 ; 68.570 ; 99.457 ; 272.812 ; 848.416 
1919;44;Texas; 14.350 ; 35.615 ; 86.512 ; 128.941 ; 331.387 ; 1.170.827 
1919;45;Utah; 19.998 ; 37.291 ; 76.498 ; 101.660 ; 228.414 ; 566.875 
1919;46;Vermont; 14.274 ; 31.126 ; 74.540 ; 111.288 ; 293.815 ; 1.206.045 
1919;47;Virginia; 14.318 ; 31.755 ; 70.212 ; 105.270 ; 269.304 ; 795.991 
1919;48;Washington; 29.346 ; 43.180 ; 95.028 ; 137.313 ; 307.808 ; 1.035.435 
1919;49;West Virginia; 14.293 ; 30.968 ; 69.145 ; 98.778 ; 251.782 ; 960.887 
1919;50;Wisconsin; 14.346 ; 33.396 ; 75.956 ; 109.048 ; 266.930 ; 906.137 
1919;51;Wyoming; 33.260 ; 45.647 ; 93.705 ; 139.920 ; 332.048 ; 865.191 
1920;0;United States; 33.251 ; 41.543 ; 101.885 ; 160.382 ; 442.610 ; 1.430.971 
1920;1;Alabama; 11.963 ; 16.368 ; 43.300 ; 60.294 ; 149.392 ; 523.413 
1920;3;Arizona; 26.729 ; 34.428 ; 63.108 ; 82.503 ; 185.338 ; 525.360 
1920;4;Arkansas; 12.201 ; 16.982 ; 45.613 ; 60.945 ; 141.055 ; 442.116 
1920;5;California; 33.957 ; 49.033 ; 110.258 ; 169.586 ; 413.883 ; 1.130.463 
1920;6;Colorado; 26.963 ; 36.620 ; 76.224 ; 110.872 ; 255.786 ; 813.254 
1920;7;Connecticut; 31.871 ; 43.174 ; 102.547 ; 167.593 ; 449.228 ; 1.238.279 
1920;8;Delaware; 26.770 ; 35.160 ; 82.152 ; 131.784 ; 373.381 ; 1.243.978 
1920;9;District of Columbia; 38.263 ; 51.933 ; 127.422 ; 199.830 ; 530.129 ; 1.595.163 
1920;10;Florida; 12.360 ; 29.863 ; 66.922 ; 102.564 ; 248.694 ; 726.695 
1920;11;Georgia; 11.890 ; 21.201 ; 48.102 ; 67.156 ; 182.310 ; 575.387 
1920;13;Idaho; 23.227 ; 32.438 ; 58.140 ; 72.294 ; 132.108 ; 315.807 
1920;14;Illinois; 28.355 ; 39.499 ; 102.916 ; 161.994 ; 417.198 ; 1.307.501 
1920;15;Indiana; 24.486 ; 33.555 ; 62.621 ; 92.102 ; 242.177 ; 733.218 
1920;16;Iowa; 29.934 ; 46.005 ; 98.895 ; 139.175 ; 263.757 ; 564.532 
1920;17;Kansas; 17.653 ; 34.006 ; 67.984 ; 94.657 ; 219.821 ; 648.377 
1920;18;Kentucky; 12.233 ; 25.480 ; 56.405 ; 82.330 ; 207.101 ; 596.663 
1920;19;Louisiana; 12.374 ; 30.140 ; 66.686 ; 99.056 ; 260.370 ; 829.394 
1920;20;Maine; 21.404 ; 33.594 ; 69.045 ; 101.909 ; 263.603 ; 786.458 
1920;21;Maryland; 32.333 ; 45.575 ; 111.653 ; 180.321 ; 478.163 ; 1.437.241 
1920;22;Massachusetts; 33.516 ; 46.575 ; 114.316 ; 195.122 ; 547.992 ; 1.742.625 
1920;23;Michigan; 26.614 ; 35.139 ; 78.639 ; 122.876 ; 337.619 ; 1.154.729 
1920;24;Minnesota; 25.097 ; 33.831 ; 74.740 ; 112.313 ; 292.487 ; 991.892 
1920;25;Mississippi; 11.740 ; 12.248 ; 38.425 ; 52.273 ; 116.670 ; 437.399 
1920;26;Missouri; 12.387 ; 29.439 ; 72.662 ; 113.901 ; 306.319 ; 900.609 
1920;27;Montana; 25.381 ; 31.316 ; 52.545 ; 70.598 ; 142.449 ; 366.206 
1920;28;Nebraska; 28.018 ; 40.414 ; 88.114 ; 123.720 ; 259.237 ; 642.181 
1920;29;Nevada; 29.208 ; 37.774 ; 64.633 ; 83.852 ; 149.751 ; 269.914 
1920;30;New Hampshire; 25.917 ; 35.744 ; 70.476 ; 108.823 ; 277.242 ; 862.764 
1920;31;New Jersey; 30.825 ; 43.514 ; 104.281 ; 164.169 ; 430.775 ; 1.321.619 
1920;32;New Mexico; 12.275 ; 27.663 ; 49.465 ; 63.419 ; 126.336 ; 330.845 
1920;33;New York; 33.196 ; 48.439 ; 137.516 ; 231.733 ; 652.758 ; 2.044.896 
1920;34;North Carolina; 12.015 ; 12.396 ; 46.773 ; 65.682 ; 181.320 ; 713.049 
1920;35;North Dakota; 12.403 ; 28.582 ; 53.839 ; 68.475 ; 144.745 ; 320.666 
1920;36;Ohio; 26.656 ; 35.940 ; 81.950 ; 131.393 ; 364.519 ; 1.082.865 
1920;37;Oklahoma; 12.407 ; 32.401 ; 75.136 ; 107.744 ; 275.701 ; 996.724 
1920;38;Oregon; 26.261 ; 36.558 ; 74.320 ; 108.208 ; 266.625 ; 753.540 
1920;39;Pennsylvania; 27.471 ; 37.453 ; 92.365 ; 152.086 ; 457.554 ; 1.529.684 
1920;40;Rhode Island; 27.920 ; 40.335 ; 107.194 ; 185.019 ; 562.750 ; 2.192.664 
1920;41;South Carolina; 12.191 ; 15.609 ; 47.812 ; 64.490 ; 162.800 ; 571.557 
1920;42;South Dakota; 20.748 ; 35.971 ; 68.509 ; 94.341 ; 185.167 ; 401.023 
1920;43;Tennessee; 12.018 ; 22.444 ; 55.259 ; 81.645 ; 221.705 ; 642.517 
1920;44;Texas; 20.231 ; 34.640 ; 65.775 ; 91.777 ; 243.928 ; 752.526 
1920;45;Utah; 26.715 ; 34.134 ; 62.861 ; 87.559 ; 205.313 ; 539.722 
1920;46;Vermont; 16.235 ; 31.189 ; 65.649 ; 98.978 ; 271.076 ; 1.007.704 
1920;47;Virginia; 12.411 ; 28.474 ; 58.515 ; 87.766 ; 217.862 ; 660.550 
1920;48;Washington; 27.770 ; 36.863 ; 69.593 ; 97.123 ; 221.201 ; 601.585 
1920;49;West Virginia; 27.177 ; 35.940 ; 68.746 ; 105.630 ; 301.743 ; 948.165 
1920;50;Wisconsin; 18.513 ; 29.267 ; 73.240 ; 107.805 ; 267.982 ; 837.241 
1920;51;Wyoming; 31.165 ; 38.259 ; 65.362 ; 91.958 ; 190.869 ; 545.595 
1921;0;United States; 32.031 ; 40.525 ; 96.064 ; 148.174 ; 409.489 ; 1.308.891 
1921;1;Alabama; 12.747 ; 13.823 ; 42.480 ; 55.516 ; 128.140 ; 430.111 
1921;3;Arizona; 27.060 ; 34.930 ; 56.668 ; 69.850 ; 128.945 ; 345.705 
1921;4;Arkansas; 13.285 ; 13.857 ; 44.221 ; 60.173 ; 136.132 ; 427.432 
1921;5;California; 33.411 ; 46.353 ; 107.428 ; 163.184 ; 407.980 ; 1.097.122 
1921;6;Colorado; 24.583 ; 36.092 ; 69.191 ; 100.881 ; 244.994 ; 745.839 
1921;7;Connecticut; 29.071 ; 40.668 ; 100.229 ; 162.741 ; 434.971 ; 1.166.229 
1921;8;Delaware; 26.866 ; 36.046 ; 77.157 ; 119.225 ; 348.177 ; 1.027.691 
1921;9;District of Columbia; 48.759 ; 65.948 ; 139.152 ; 221.581 ; 565.402 ; 1.653.173 
1921;10;Florida; 13.773 ; 30.433 ; 64.688 ; 92.672 ; 215.028 ; 631.173 
1921;11;Georgia; 12.901 ; 18.857 ; 47.266 ; 62.417 ; 147.090 ; 529.513 
1921;13;Idaho; 19.220 ; 31.125 ; 51.975 ; 62.455 ; 94.806 ; 345.170 
1921;14;Illinois; 30.404 ; 44.089 ; 100.974 ; 157.918 ; 422.422 ; 1.220.420 
1921;15;Indiana; 17.709 ; 31.770 ; 61.232 ; 85.026 ; 210.380 ; 643.076 
1921;16;Iowa; 16.993 ; 32.318 ; 63.768 ; 84.745 ; 192.207 ; 529.772 
1921;17;Kansas; 15.347 ; 30.868 ; 60.364 ; 77.963 ; 171.690 ; 434.633 
1921;18;Kentucky; 13.421 ; 22.778 ; 55.160 ; 74.215 ; 183.057 ; 572.834 
1921;19;Louisiana; 13.826 ; 31.431 ; 64.203 ; 83.598 ; 218.821 ; 662.681 
1921;20;Maine; 20.217 ; 33.089 ; 70.494 ; 105.336 ; 270.418 ; 842.133 
1921;21;Maryland; 30.947 ; 48.880 ; 110.351 ; 164.284 ; 422.144 ; 1.299.702 
1921;22;Massachusetts; 32.345 ; 44.834 ; 112.754 ; 185.943 ; 521.589 ; 1.554.628 
1921;23;Michigan; 22.899 ; 33.318 ; 70.757 ; 107.616 ; 295.368 ; 969.640 
1921;24;Minnesota; 19.825 ; 33.666 ; 66.366 ; 98.712 ; 265.504 ; 878.498 
1921;25;Mississippi; 12.282 ; 13.444 ; 36.969 ; 48.478 ; 96.949 ; 296.867 
1921;26;Missouri; 18.192 ; 31.889 ; 67.843 ; 104.572 ; 281.203 ; 806.032 
1921;27;Montana; 23.230 ; 32.352 ; 54.000 ; 66.859 ; 138.690 ; 362.754 
1921;28;Nebraska; 19.800 ; 32.762 ; 65.782 ; 87.473 ; 196.956 ; 544.394 
1921;29;Nevada; 31.323 ; 40.440 ; 70.508 ; 88.365 ; 151.904 ; 581.486 
1921;30;New Hampshire; 24.448 ; 34.313 ; 71.273 ; 104.681 ; 253.065 ; 855.707 
